ts_micro,frame,wheel
1574271567224,1,0.0
1574271567275,2,0.0
1574271567325,3,0.0
1574271567375,4,0.0
1574271567424,5,0.0
1574271567474,6,0.0
1574271567524,7,0.0
1574271567574,8,0.0
1574271567624,9,0.0
1574271567675,10,0.0
1574271567724,11,0.0
1574271567774,12,0.0
1574271567825,13,0.0
1574271567874,14,0.0
1574271567924,15,0.0
1574271567975,16,0.0
1574271568024,17,0.0
1574271568074,18,0.0
1574271568124,19,0.0
1574271568174,20,0.0
1574271568224,21,0.0
1574271568275,22,0.0
1574271568324,23,0.0
1574271568375,24,0.0
1574271568424,25,0.0
1574271568474,26,0.0
1574271568524,27,0.0
1574271568575,28,0.0
1574271568624,29,0.0
1574271568674,30,0.0
1574271568725,31,0.0
1574271568774,32,0.0
1574271568824,33,0.0
1574271568875,34,0.0
1574271568924,35,0.0
1574271568974,36,0.0
1574271569025,37,0.0
1574271569074,38,0.0
1574271569124,39,0.0
1574271569175,40,0.0
1574271569224,41,0.0
1574271569274,42,0.0
1574271569325,43,0.0
1574271569374,44,0.0
1574271569424,45,0.0
1574271569475,46,0.0
1574271569524,47,0.0
1574271569575,48,0.0
1574271569624,49,0.0
1574271569675,50,0.0
1574271569724,51,0.0
1574271569775,52,0.0
1574271569824,53,0.0
1574271569875,54,0.0
1574271569924,55,0.0
1574271569975,56,0.0
1574271570024,57,0.0
1574271570075,58,0.0
1574271570124,59,0.0
1574271570174,60,0.0
1574271570224,61,0.0
1574271570275,62,0.0
1574271570324,63,0.0
1574271570374,64,0.0
1574271570424,65,0.0
1574271570474,66,0.0
1574271570524,67,0.0
1574271570574,68,0.0
1574271570624,69,0.0
1574271570675,70,0.0
1574271570724,71,0.0
1574271570775,72,0.0
1574271570825,73,0.0
1574271570875,74,0.0
1574271570925,75,0.0
1574271570975,76,0.0
1574271571024,77,0.0
1574271571074,78,0.0
1574271571124,79,0.0
1574271571174,80,0.0
1574271571224,81,0.0
1574271571274,82,0.0
1574271571325,83,0.0
1574271571374,84,0.0
1574271571424,85,0.0
1574271571474,86,0.0
1574271571524,87,0.0
1574271571574,88,0.0
1574271571624,89,0.0
1574271571674,90,0.0
1574271571724,91,0.0
1574271571775,92,0.0
1574271571825,93,0.0
1574271571875,94,0.0
1574271571924,95,0.0
1574271571975,96,0.0
1574271572024,97,0.0
1574271572074,98,0.0
1574271572124,99,0.0
1574271572174,100,0.0
1574271572224,101,0.0
1574271572274,102,0.0
1574271572324,103,0.0
1574271572374,104,0.0
1574271572424,105,0.0
1574271572475,106,0.0
1574271572524,107,0.0
1574271572575,108,0.0
1574271572625,109,0.0
1574271572675,110,0.0
1574271572724,111,0.0
1574271572775,112,0.0
1574271572824,113,0.0
1574271572875,114,0.0
1574271572925,115,0.0
1574271572974,116,0.0
1574271573024,117,0.0
1574271573075,118,0.0
