ts_micro,frame,btn,speed
1574271567224,1,107,50
1574271567275,2,107,50
1574271567325,3,107,50
1574271567375,4,107,50
1574271567424,5,107,50
1574271567474,6,107,50
1574271567524,7,107,50
1574271567574,8,107,50
1574271567624,9,107,50
1574271567675,10,107,50
1574271567724,11,107,50
1574271567774,12,107,50
1574271567825,13,107,50
1574271567874,14,107,50
1574271567924,15,107,50
1574271567975,16,107,50
1574271568024,17,107,50
1574271568074,18,107,50
1574271568124,19,107,50
1574271568174,20,107,50
1574271568224,21,107,50
1574271568275,22,107,50
1574271568324,23,107,50
1574271568375,24,107,50
1574271568424,25,107,50
1574271568474,26,107,50
1574271568524,27,107,50
1574271568575,28,107,50
1574271568624,29,107,50
1574271568674,30,107,50
1574271568725,31,107,50
1574271568774,32,107,50
1574271568824,33,107,50
1574271568875,34,107,50
1574271568924,35,107,50
1574271568974,36,107,50
1574271569025,37,107,50
1574271569074,38,107,50
1574271569124,39,107,50
1574271569175,40,107,50
1574271569224,41,107,50
1574271569274,42,107,50
1574271569325,43,107,50
1574271569374,44,107,50
1574271569424,45,107,50
1574271569475,46,107,50
1574271569524,47,107,50
1574271569575,48,107,50
1574271569624,49,107,50
1574271569675,50,107,50
1574271569724,51,107,50
1574271569775,52,107,50
1574271569824,53,107,50
1574271569875,54,107,50
1574271569924,55,107,50
1574271569975,56,107,50
1574271570024,57,107,50
1574271570075,58,107,50
1574271570124,59,107,50
1574271570174,60,107,50
1574271570224,61,107,50
1574271570275,62,107,50
1574271570324,63,107,50
1574271570374,64,107,50
1574271570424,65,107,50
1574271570474,66,107,50
1574271570524,67,107,50
1574271570574,68,107,50
1574271570624,69,107,50
1574271570675,70,107,50
1574271570724,71,107,50
1574271570775,72,107,50
1574271570825,73,107,50
1574271570875,74,107,50
1574271570925,75,107,50
1574271570975,76,107,50
1574271571024,77,107,50
1574271571074,78,107,50
1574271571124,79,107,50
1574271571174,80,107,50
1574271571224,81,107,50
1574271571274,82,107,50
1574271571325,83,107,50
1574271571374,84,107,50
1574271571424,85,107,50
1574271571474,86,107,50
1574271571524,87,107,50
1574271571574,88,107,50
1574271571624,89,107,50
1574271571674,90,107,50
1574271571724,91,107,50
1574271571775,92,107,50
1574271571825,93,107,50
1574271571875,94,107,50
1574271571924,95,107,50
1574271571975,96,107,50
1574271572024,97,107,50
1574271572074,98,107,50
1574271572124,99,107,50
1574271572174,100,107,50
1574271572224,101,107,50
1574271572274,102,107,50
1574271572324,103,107,50
1574271572374,104,107,50
1574271572424,105,107,50
1574271572475,106,107,50
1574271572524,107,107,50
1574271572575,108,107,50
1574271572625,109,107,50
1574271572675,110,107,50
1574271572724,111,107,50
1574271572775,112,107,50
1574271572824,113,107,50
1574271572875,114,107,50
1574271572925,115,107,50
1574271572974,116,107,50
1574271573024,117,107,50
1574271573075,118,107,50
1574271573124,119,107,50
1574271573174,120,107,50
1574271573224,121,107,50
1574271573274,122,107,50
1574271573324,123,107,50
1574271573374,124,107,50
1574271573425,125,107,50
1574271573474,126,107,50
1574271573525,127,107,50
1574271573575,128,107,50
1574271573624,129,107,50
1574271573675,130,107,50
1574271573724,131,107,50
1574271573774,132,107,50
1574271573824,133,107,50
1574271573874,134,107,50
1574271573924,135,107,50
1574271573974,136,107,50
1574271574024,137,107,50
1574271574074,138,107,50
1574271574124,139,107,50
1574271574175,140,107,50
1574271574224,141,107,50
1574271574275,142,107,50
1574271574325,143,107,50
1574271574375,144,107,50
1574271574425,145,107,50
1574271574475,146,107,50
1574271574524,147,107,50
1574271574574,148,107,50
1574271574624,149,107,50
1574271574674,150,107,50
1574271574725,151,107,50
1574271574774,152,107,50
1574271574825,153,107,50
1574271574874,154,107,50
1574271574924,155,107,50
1574271574975,156,107,50
1574271575024,157,107,50
1574271575074,158,107,50
1574271575124,159,107,50
1574271575174,160,107,50
1574271575224,161,107,50
1574271575274,162,107,50
1574271575324,163,107,50
1574271575374,164,107,50
1574271575424,165,107,50
1574271575474,166,107,50
1574271575525,167,107,50
1574271575575,168,107,50
1574271575625,169,107,50
1574271575675,170,107,50
1574271575724,171,107,50
1574271575774,172,107,50
1574271575824,173,107,50
1574271575874,174,107,50
1574271575924,175,107,50
1574271575974,176,107,50
1574271576024,177,107,50
1574271576074,178,107,50
1574271576124,179,107,50
1574271576174,180,107,50
1574271576224,181,107,50
1574271576274,182,107,50
1574271576324,183,107,50
1574271576374,184,107,50
1574271576425,185,107,50
1574271576474,186,107,50
1574271576525,187,107,50
1574271576574,188,107,50
1574271576625,189,107,50
1574271576674,190,107,50
1574271576725,191,107,50
1574271576775,192,107,50
1574271576825,193,107,50
1574271576874,194,107,50
1574271576924,195,107,50
1574271576974,196,107,50
1574271577024,197,107,50
1574271577074,198,107,50
1574271577124,199,107,50
1574271577174,200,107,50
1574271577224,201,107,50
1574271577274,202,107,50
1574271577324,203,107,50
1574271577374,204,107,50
1574271577424,205,107,50
1574271577474,206,107,50
1574271577524,207,107,50
1574271577575,208,107,50
1574271577625,209,107,50
1574271577674,210,107,50
1574271577724,211,107,50
1574271577775,212,107,50
1574271577825,213,107,50
1574271577875,214,107,50
1574271577924,215,107,50
1574271577974,216,107,50
1574271578024,217,107,50
1574271578074,218,107,50
1574271578124,219,107,50
1574271578175,220,107,50
1574271578224,221,107,50
1574271578274,222,107,50
1574271578324,223,107,50
1574271578374,224,107,50
1574271578424,225,107,50
1574271578474,226,107,50
1574271578524,227,107,50
1574271578574,228,107,50
1574271578624,229,107,50
1574271578674,230,107,50
1574271578724,231,107,50
1574271578775,232,107,50
1574271578824,233,107,50
1574271578874,234,107,50
1574271578924,235,107,50
1574271578974,236,107,50
1574271579024,237,107,50
1574271579074,238,107,50
1574271579124,239,107,50
1574271579174,240,107,50
1574271579224,241,107,50
1574271579274,242,107,50
1574271579324,243,107,50
1574271579374,244,107,50
1574271579424,245,107,50
1574271579474,246,107,50
1574271579525,247,107,50
1574271579575,248,107,50
1574271579624,249,107,50
1574271579675,250,107,50
1574271579724,251,107,50
1574271579775,252,107,50
1574271579824,253,107,50
1574271579875,254,107,50
1574271579925,255,107,50
1574271579975,256,107,50
1574271580024,257,107,50
1574271580074,258,107,50
1574271580124,259,107,50
1574271580175,260,107,50
1574271580224,261,107,50
1574271580275,262,107,50
1574271580324,263,107,50
1574271580374,264,107,50
1574271580425,265,107,50
1574271580474,266,107,50
1574271580525,267,107,50
1574271580574,268,107,50
1574271580625,269,107,50
1574271580674,270,107,50
1574271580725,271,107,50
1574271580774,272,107,50
1574271580825,273,107,50
1574271580874,274,107,50
1574271580925,275,107,50
1574271580974,276,107,50
1574271581025,277,107,50
1574271581074,278,107,50
1574271581125,279,107,50
1574271581175,280,107,50
1574271581225,281,107,50
1574271581274,282,107,50
1574271581324,283,107,50
1574271581374,284,107,50
1574271581424,285,107,50
1574271581474,286,107,50
1574271581524,287,107,50
1574271581574,288,107,50
1574271581624,289,107,50
1574271581674,290,107,50
1574271581724,291,107,50
1574271581774,292,107,50
1574271581824,293,107,50
1574271581874,294,107,50
1574271581924,295,107,50
1574271581974,296,107,50
1574271582024,297,107,50
1574271582075,298,107,50
1574271582124,299,107,50
1574271582174,300,107,50
1574271582225,301,107,50
1574271582275,302,107,50
1574271582324,303,107,50
1574271582375,304,107,50
1574271582424,305,107,50
1574271582475,306,107,50
1574271582524,307,107,50
1574271582575,308,107,50
1574271582624,309,107,50
1574271582675,310,107,50
1574271582724,311,107,50
1574271582775,312,107,50
1574271582824,313,107,50
1574271582875,314,107,50
1574271582926,315,107,50
1574271582975,316,107,50
1574271583024,317,107,50
1574271583075,318,107,50
1574271583124,319,107,50
1574271583175,320,107,50
1574271583224,321,107,50
1574271583275,322,107,50
1574271583324,323,107,50
1574271583375,324,107,50
1574271583424,325,107,50
1574271583475,326,107,50
1574271583524,327,107,50
1574271583575,328,107,50
1574271583624,329,107,50
1574271583675,330,107,50
1574271583724,331,107,50
1574271583774,332,107,50
1574271583825,333,107,50
1574271583875,334,107,50
1574271583924,335,107,50
1574271583975,336,107,50
1574271584024,337,107,50
1574271584074,338,107,50
1574271584124,339,107,50
1574271584174,340,107,50
1574271584224,341,107,50
1574271584274,342,107,50
1574271584324,343,107,50
1574271584374,344,107,50
1574271584425,345,107,50
1574271584474,346,107,50
1574271584524,347,107,50
1574271584574,348,107,50
1574271584625,349,107,50
1574271584674,350,107,50
1574271584725,351,107,50
1574271584774,352,107,50
1574271584825,353,107,50
1574271584874,354,107,50
1574271584924,355,107,50
1574271584974,356,107,50
