ts_micro,frame,btn,speed
1574271483694,1,107,50
1574271483744,2,107,50
1574271483794,3,107,50
1574271483844,4,107,50
1574271483894,5,107,50
1574271483944,6,107,50
1574271483994,7,107,50
1574271484044,8,107,50
1574271484094,9,107,50
1574271484144,10,107,50
1574271484194,11,107,50
1574271484244,12,107,50
1574271484294,13,107,50
1574271484344,14,107,50
1574271484394,15,107,50
1574271484444,16,107,50
1574271484494,17,107,50
1574271484544,18,107,50
1574271484594,19,107,50
1574271484644,20,107,50
1574271484694,21,107,50
1574271484744,22,107,50
1574271484794,23,107,50
1574271484844,24,107,50
1574271484894,25,107,50
1574271484944,26,107,50
1574271484994,27,107,50
1574271485044,28,107,50
1574271485094,29,107,50
1574271485144,30,107,50
1574271485194,31,107,50
1574271485244,32,107,50
1574271485294,33,107,50
1574271485344,34,107,50
1574271485394,35,107,50
1574271485444,36,107,50
1574271485494,37,107,50
1574271485544,38,107,50
1574271485594,39,107,50
1574271485644,40,107,50
1574271485694,41,107,50
1574271485744,42,107,50
1574271485794,43,107,50
1574271485844,44,107,50
1574271485894,45,107,50
1574271485944,46,107,50
1574271485994,47,107,50
1574271486044,48,107,50
1574271486094,49,107,50
1574271486144,50,107,50
1574271486194,51,107,50
1574271486244,52,107,50
1574271486294,53,107,50
1574271486344,54,107,50
1574271486394,55,107,50
1574271486444,56,107,50
1574271486494,57,107,50
1574271486544,58,107,50
1574271486594,59,107,50
1574271486644,60,107,50
1574271486694,61,107,50
1574271486744,62,107,50
1574271486794,63,107,50
1574271486844,64,107,50
1574271486894,65,107,50
1574271486944,66,107,50
1574271486994,67,107,50
1574271487044,68,107,50
1574271487094,69,107,50
1574271487144,70,107,50
1574271487194,71,107,50
1574271487244,72,107,50
1574271487294,73,107,50
1574271487344,74,107,50
1574271487394,75,107,50
1574271487444,76,107,50
1574271487494,77,107,50
1574271487544,78,107,50
1574271487594,79,107,50
1574271487644,80,107,50
1574271487694,81,107,50
1574271487744,82,107,50
1574271487794,83,107,50
1574271487844,84,107,50
1574271487894,85,107,50
1574271487944,86,107,50
1574271487994,87,107,50
1574271488044,88,107,50
1574271488094,89,107,50
1574271488144,90,107,50
1574271488194,91,107,50
1574271488244,92,107,50
1574271488294,93,107,50
1574271488344,94,107,50
1574271488394,95,107,50
1574271488444,96,107,50
1574271488494,97,107,50
1574271488544,98,107,50
1574271488594,99,107,50
1574271488644,100,107,50
1574271488694,101,107,50
1574271488744,102,107,50
1574271488794,103,107,50
1574271488844,104,107,50
1574271488894,105,107,50
1574271488944,106,107,50
1574271488994,107,107,50
1574271489044,108,107,50
1574271489094,109,107,50
1574271489144,110,107,50
1574271489194,111,107,50
