ts_micro,frame,wheel
1574271789984,1,0.0
1574271790034,2,0.0
1574271790084,3,0.0
1574271790134,4,0.0
1574271790184,5,0.0
1574271790234,6,0.0
1574271790284,7,0.0
1574271790334,8,0.0
1574271790384,9,0.0
1574271790434,10,0.0
1574271790485,11,0.0
1574271790534,12,0.0
1574271790584,13,0.0
1574271790634,14,0.0
1574271790684,15,0.0
1574271790734,16,0.0
1574271790784,17,0.0
1574271790834,18,0.0
1574271790884,19,0.0
1574271790934,20,0.0
1574271790984,21,0.0
1574271791034,22,0.0
1574271791084,23,0.0
1574271791134,24,0.0
1574271791184,25,0.0
1574271791234,26,0.0
1574271791284,27,0.0
1574271791334,28,0.0
1574271791384,29,0.0
1574271791434,30,0.0
1574271791484,31,0.0
1574271791534,32,0.0
1574271791584,33,0.0
1574271791634,34,0.0
1574271791684,35,0.0
1574271791734,36,0.0
1574271791784,37,0.0
1574271791834,38,0.0
1574271791884,39,0.0
1574271791934,40,0.0
1574271791984,41,0.0
1574271792034,42,0.0
1574271792084,43,0.0
1574271792134,44,0.0
1574271792184,45,0.0
1574271792234,46,0.0
1574271792284,47,0.0
1574271792334,48,0.0
1574271792384,49,0.0
1574271792434,50,0.0
1574271792484,51,0.0
1574271792534,52,0.0
1574271792584,53,0.0
1574271792634,54,0.0
1574271792684,55,0.0
1574271792734,56,0.0
1574271792784,57,0.0
1574271792834,58,0.0
1574271792884,59,0.0
1574271792934,60,0.0
1574271792984,61,0.0
1574271793034,62,0.0
1574271793084,63,0.0
1574271793134,64,0.0
1574271793184,65,0.0
1574271793234,66,0.0
1574271793284,67,0.0
1574271793334,68,0.0
1574271793384,69,0.0
1574271793434,70,0.0
1574271793484,71,0.0
1574271793534,72,0.0
1574271793584,73,0.0
1574271793634,74,0.0
1574271793684,75,0.0
1574271793734,76,0.0
1574271793784,77,0.0
1574271793834,78,0.0
1574271793884,79,0.0
1574271793934,80,0.0
1574271793984,81,0.0
1574271794034,82,0.0
1574271794084,83,0.0
1574271794134,84,0.0
1574271794184,85,0.0
1574271794234,86,0.0
1574271794284,87,0.0
1574271794334,88,0.0
1574271794384,89,0.0
1574271794434,90,0.0
1574271794484,91,0.0
1574271794534,92,0.0
1574271794584,93,0.0
1574271794634,94,0.0
1574271794684,95,0.0
1574271794734,96,0.0
1574271794784,97,0.0
1574271794834,98,0.0
1574271794884,99,0.0
1574271794934,100,0.0
1574271794984,101,0.0
1574271795034,102,0.0
1574271795084,103,0.0
1574271795134,104,0.0
1574271795184,105,0.0
1574271795234,106,0.0
1574271795284,107,0.0
1574271795334,108,0.0
1574271795384,109,0.0
1574271795434,110,0.0
1574271795484,111,0.0
1574271795534,112,0.0
1574271795584,113,0.0
1574271795634,114,0.0
1574271795684,115,0.0
1574271795734,116,0.0
1574271795784,117,0.0
1574271795834,118,0.0
1574271795884,119,0.0
1574271795934,120,0.0
1574271795984,121,0.0
1574271796034,122,0.0
1574271796084,123,0.0
1574271796134,124,0.0
1574271796184,125,0.0
1574271796234,126,0.0
1574271796284,127,0.0
1574271796334,128,0.0
1574271796384,129,0.0
1574271796434,130,0.0
1574271796484,131,0.0
